;Activity coefficient;Activity coefficient_std;Mole fraction;Pressure, kPa;Temperature, K;components;filename;phase;n_components;component_0;component_1;formula_0;formula_1;n_atoms_0;n_heavy_atoms_0;n_desired_atoms_0;n_other_atoms_0;n_atoms_1;n_heavy_atoms_1;n_desired_atoms_1;n_other_atoms_1;SMILES_0;SMILES_1;cas_0;InChI_0;cas_1;InChI_1
1368143;1.68;0.0504;0.0;101.0;289.99;1,4-dimethylbenzene__butane;je060395n;Liquid;2;1,4-dimethylbenzene;butane;C8H10;C4H10;18;8;18;0;14;4;14;0;Cc1ccc(C)cc1;CCCC;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;106-97-8;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N
1368153;3.97;0.1191;0.0;101.0;270.07;styrene__butane;je060395n;Liquid;2;styrene;butane;C8H8;C4H10;16;8;16;0;14;4;14;0;C=Cc1ccccc1;CCCC;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;106-97-8;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N
1368160;2.81;0.0843;0.0;101.0;279.99;benzene__2-methylpropane;je060395n;Liquid;2;benzene;2-methylpropane;C6H6;C4H10;12;6;12;0;14;4;14;0;c1ccccc1;CC(C)C;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;75-28-5;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N
1368170;2.25;0.0675;0.0;101.0;270.0;2-methylpropane__toluene;je060395n;Liquid;2;2-methylpropane;toluene;C4H10;C7H8;14;4;14;0;15;7;15;0;CC(C)C;Cc1ccccc1;75-28-5;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N
1368180;2.25;0.0675;0.0;101.0;270.13;2-methylpropane__1,2-dimethylbenzene;je060395n;Liquid;2;2-methylpropane;1,2-dimethylbenzene;C4H10;C8H10;14;4;14;0;18;8;18;0;CC(C)C;Cc1ccccc1C;75-28-5;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N
1368190;2.04;0.0612;0.0;101.0;270.1;2-methylpropane__1,3-dimethylbenzene;je060395n;Liquid;2;2-methylpropane;1,3-dimethylbenzene;C4H10;C8H10;14;4;14;0;18;8;18;0;CC(C)C;Cc1cccc(C)c1;75-28-5;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N
1368199;1.91;0.0573;0.0;101.0;289.99;2-methylpropane__1,4-dimethylbenzene;je060395n;Liquid;2;2-methylpropane;1,4-dimethylbenzene;C4H10;C8H10;14;4;14;0;18;8;18;0;CC(C)C;Cc1ccc(C)cc1;75-28-5;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N
1368209;4.64;0.1392;0.0;101.0;270.07;2-methylpropane__styrene;je060395n;Liquid;2;2-methylpropane;styrene;C4H10;C8H8;14;4;14;0;16;8;16;0;CC(C)C;C=Cc1ccccc1;75-28-5;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N
1368216;1.76;0.0528;0.0;101.0;279.99;benzene__1-butene;je060395n;Liquid;2;benzene;1-butene;C6H6;C4H8;12;6;12;0;12;4;12;0;c1ccccc1;CCC=C;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;61788-35-0;InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N
1368226;1.5;0.045;0.0;101.0;270.0;1-butene__toluene;je060395n;Liquid;2;1-butene;toluene;C4H8;C7H8;12;4;12;0;15;7;15;0;CCC=C;Cc1ccccc1;61788-35-0;InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N
1368236;1.55;0.0465;0.0;101.0;270.13;1,2-dimethylbenzene__1-butene;je060395n;Liquid;2;1,2-dimethylbenzene;1-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccccc1C;CCC=C;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;61788-35-0;InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N
1368246;1.44;0.0432;0.0;101.0;270.1;1-butene__1,3-dimethylbenzene;je060395n;Liquid;2;1-butene;1,3-dimethylbenzene;C4H8;C8H10;12;4;12;0;18;8;18;0;CCC=C;Cc1cccc(C)c1;61788-35-0;InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N
1368255;1.37;0.0411;0.0;101.0;289.99;1,4-dimethylbenzene__1-butene;je060395n;Liquid;2;1,4-dimethylbenzene;1-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccc(C)cc1;CCC=C;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;61788-35-0;InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N
1368265;2.76;0.0828;0.0;101.0;270.07;styrene__1-butene;je060395n;Liquid;2;styrene;1-butene;C8H8;C4H8;16;8;16;0;12;4;12;0;C=Cc1ccccc1;CCC=C;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;61788-35-0;InChIKey=VXNZUUAINFGPBY-UHFFFAOYSA-N
1368272;1.77;0.0531;0.0;101.0;279.99;benzene__2-methylpropene;je060395n;Liquid;2;benzene;2-methylpropene;C6H6;C4H8;12;6;12;0;12;4;12;0;c1ccccc1;CC(C)=C;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;68037-14-9;InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
1368282;1.52;0.0456;0.0;101.0;270.0;toluene__2-methylpropene;je060395n;Liquid;2;toluene;2-methylpropene;C7H8;C4H8;15;7;15;0;12;4;12;0;Cc1ccccc1;CC(C)=C;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;68037-14-9;InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
1368292;1.54;0.0462;0.0;101.0;270.13;1,2-dimethylbenzene__2-methylpropene;je060395n;Liquid;2;1,2-dimethylbenzene;2-methylpropene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccccc1C;CC(C)=C;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;68037-14-9;InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
1368302;1.43;0.0429;0.0;101.0;270.1;1,3-dimethylbenzene__2-methylpropene;je060395n;Liquid;2;1,3-dimethylbenzene;2-methylpropene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1cccc(C)c1;CC(C)=C;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;68037-14-9;InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
1368311;1.37;0.0411;0.0;101.0;289.99;1,4-dimethylbenzene__2-methylpropene;je060395n;Liquid;2;1,4-dimethylbenzene;2-methylpropene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccc(C)cc1;CC(C)=C;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;68037-14-9;InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
1368321;2.79;0.0837;0.0;101.0;270.07;styrene__2-methylpropene;je060395n;Liquid;2;styrene;2-methylpropene;C8H8;C4H8;16;8;16;0;12;4;12;0;C=Cc1ccccc1;CC(C)=C;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;68037-14-9;InChIKey=VQTUBCCKSQIDNK-UHFFFAOYSA-N
1368328;1.79;0.0537;0.0;101.0;279.99;benzene__trans-2-butene;je060395n;Liquid;2;benzene;trans-2-butene;C6H6;C4H8;12;6;12;0;12;4;12;0;c1ccccc1;C\C=C\C;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;1735-76-8;InChIKey=IAQRGUVFOMOMEM-ONEGZZNKSA-N
1368338;1.46;0.0438;0.0;101.0;270.0;toluene__trans-2-butene;je060395n;Liquid;2;toluene;trans-2-butene;C7H8;C4H8;15;7;15;0;12;4;12;0;Cc1ccccc1;C\C=C\C;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;1735-76-8;InChIKey=IAQRGUVFOMOMEM-ONEGZZNKSA-N
1368348;1.48;0.0444;0.0;101.0;270.13;1,2-dimethylbenzene__trans-2-butene;je060395n;Liquid;2;1,2-dimethylbenzene;trans-2-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccccc1C;C\C=C\C;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;1735-76-8;InChIKey=IAQRGUVFOMOMEM-ONEGZZNKSA-N
1368358;1.39;0.0417;0.0;101.0;270.1;1,3-dimethylbenzene__trans-2-butene;je060395n;Liquid;2;1,3-dimethylbenzene;trans-2-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1cccc(C)c1;C\C=C\C;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;1735-76-8;InChIKey=IAQRGUVFOMOMEM-ONEGZZNKSA-N
1368367;1.32;0.0396;0.0;101.0;289.99;1,4-dimethylbenzene__trans-2-butene;je060395n;Liquid;2;1,4-dimethylbenzene;trans-2-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccc(C)cc1;C\C=C\C;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;1735-76-8;InChIKey=IAQRGUVFOMOMEM-ONEGZZNKSA-N
1368377;2.68;0.0804;0.0;101.0;270.07;styrene__trans-2-butene;je060395n;Liquid;2;styrene;trans-2-butene;C8H8;C4H8;16;8;16;0;12;4;12;0;C=Cc1ccccc1;C\C=C\C;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;1735-76-8;InChIKey=IAQRGUVFOMOMEM-ONEGZZNKSA-N
1368384;1.61;0.0483;0.0;101.0;279.99;benzene__cis-2-butene;je060395n;Liquid;2;benzene;cis-2-butene;C6H6;C4H8;12;6;12;0;12;4;12;0;c1ccccc1;C\C=C/C;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;590-18-1;InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N
1368394;1.4;0.042;0.0;101.0;270.0;toluene__cis-2-butene;je060395n;Liquid;2;toluene;cis-2-butene;C7H8;C4H8;15;7;15;0;12;4;12;0;Cc1ccccc1;C\C=C/C;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;590-18-1;InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N
1368404;1.44;0.0432;0.0;101.0;270.13;1,2-dimethylbenzene__cis-2-butene;je060395n;Liquid;2;1,2-dimethylbenzene;cis-2-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccccc1C;C\C=C/C;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;590-18-1;InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N
1368414;1.33;0.0399;0.0;101.0;270.1;1,3-dimethylbenzene__cis-2-butene;je060395n;Liquid;2;1,3-dimethylbenzene;cis-2-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1cccc(C)c1;C\C=C/C;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;590-18-1;InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N
1368423;1.28;0.0384;0.0;101.0;289.99;1,4-dimethylbenzene__cis-2-butene;je060395n;Liquid;2;1,4-dimethylbenzene;cis-2-butene;C8H10;C4H8;18;8;18;0;12;4;12;0;Cc1ccc(C)cc1;C\C=C/C;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;590-18-1;InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N
1368433;2.52;0.0756;0.0;101.0;270.07;styrene__cis-2-butene;je060395n;Liquid;2;styrene;cis-2-butene;C8H8;C4H8;16;8;16;0;12;4;12;0;C=Cc1ccccc1;C\C=C/C;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;590-18-1;InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N
1368440;1.36;0.0408;0.0;101.0;279.99;benzene__1,3-butadiene;je060395n;Liquid;2;benzene;1,3-butadiene;C6H6;C4H6;12;6;12;0;10;4;10;0;c1ccccc1;C=CC=C;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;130983-70-9;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N
1368450;1.18;0.0354;0.0;101.0;270.0;1,3-butadiene__toluene;je060395n;Liquid;2;1,3-butadiene;toluene;C4H6;C7H8;10;4;10;0;15;7;15;0;C=CC=C;Cc1ccccc1;130983-70-9;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N
1368460;1.23;0.0369;0.0;101.0;270.13;1,2-dimethylbenzene__1,3-butadiene;je060395n;Liquid;2;1,2-dimethylbenzene;1,3-butadiene;C8H10;C4H6;18;8;18;0;10;4;10;0;Cc1ccccc1C;C=CC=C;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;130983-70-9;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N
1368470;1.15;0.0345;0.0;101.0;270.1;1,3-butadiene__1,3-dimethylbenzene;je060395n;Liquid;2;1,3-butadiene;1,3-dimethylbenzene;C4H6;C8H10;10;4;10;0;18;8;18;0;C=CC=C;Cc1cccc(C)c1;130983-70-9;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N
1368479;1.16;0.0348;0.0;101.0;289.99;1,4-dimethylbenzene__1,3-butadiene;je060395n;Liquid;2;1,4-dimethylbenzene;1,3-butadiene;C8H10;C4H6;18;8;18;0;10;4;10;0;Cc1ccc(C)cc1;C=CC=C;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;130983-70-9;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N
1368489;2.09;0.0627;0.0;101.0;270.07;styrene__1,3-butadiene;je060395n;Liquid;2;styrene;1,3-butadiene;C8H8;C4H6;16;8;16;0;10;4;10;0;C=Cc1ccccc1;C=CC=C;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;130983-70-9;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N
1368496;1.13;0.0339;0.0;101.0;279.95;benzene__methoxymethane;je060395n;Liquid;2;benzene;methoxymethane;C6H6;C2H6O;12;6;12;0;9;3;9;0;c1ccccc1;COC;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
1368505;1.07;0.0321;0.0;101.0;250.04;toluene__methoxymethane;je060395n;Liquid;2;toluene;methoxymethane;C7H8;C2H6O;15;7;15;0;9;3;9;0;Cc1ccccc1;COC;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
1368515;1.23;0.0369;0.0;101.0;250.05;1,2-dimethylbenzene__methoxymethane;je060395n;Liquid;2;1,2-dimethylbenzene;methoxymethane;C8H10;C2H6O;18;8;18;0;9;3;9;0;Cc1ccccc1C;COC;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
1368526;1.22;0.0366;0.0;101.0;270.05;1,3-dimethylbenzene__methoxymethane;je060395n;Liquid;2;1,3-dimethylbenzene;methoxymethane;C8H10;C2H6O;18;8;18;0;9;3;9;0;Cc1cccc(C)c1;COC;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
1368535;1.17;0.0351;0.0;101.0;289.97;1,4-dimethylbenzene__methoxymethane;je060395n;Liquid;2;1,4-dimethylbenzene;methoxymethane;C8H10;C2H6O;18;8;18;0;9;3;9;0;Cc1ccc(C)cc1;COC;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
1368545;0.97;0.0291;0.0;101.0;250.04;styrene__methoxymethane;je060395n;Liquid;2;styrene;methoxymethane;C8H8;C2H6O;16;8;16;0;9;3;9;0;C=Cc1ccccc1;COC;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N
1368554;1.05;0.0315;0.0;101.0;279.95;benzene__chloroethane;je060395n;Liquid;2;benzene;chloroethane;C6H6;C2H5Cl;12;6;12;0;8;3;8;0;c1ccccc1;CCCl;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;75-00-3;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N
1368563;0.92;0.0276;0.0;101.0;250.04;chloroethane__toluene;je060395n;Liquid;2;chloroethane;toluene;C2H5Cl;C7H8;8;3;8;0;15;7;15;0;CCCl;Cc1ccccc1;75-00-3;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N
1368573;1.02;0.0306;0.0;101.0;250.05;chloroethane__1,2-dimethylbenzene;je060395n;Liquid;2;chloroethane;1,2-dimethylbenzene;C2H5Cl;C8H10;8;3;8;0;18;8;18;0;CCCl;Cc1ccccc1C;75-00-3;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N
1368584;1.02;0.0306;0.0;101.0;270.05;chloroethane__1,3-dimethylbenzene;je060395n;Liquid;2;chloroethane;1,3-dimethylbenzene;C2H5Cl;C8H10;8;3;8;0;18;8;18;0;CCCl;Cc1cccc(C)c1;75-00-3;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N
1368593;1.0;0.03;0.0;101.0;289.97;chloroethane__1,4-dimethylbenzene;je060395n;Liquid;2;chloroethane;1,4-dimethylbenzene;C2H5Cl;C8H10;8;3;8;0;18;8;18;0;CCCl;Cc1ccc(C)cc1;75-00-3;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N
1368603;0.95;0.0285;0.0;101.0;250.04;chloroethane__styrene;je060395n;Liquid;2;chloroethane;styrene;C2H5Cl;C8H8;8;3;8;0;16;8;16;0;CCCl;C=Cc1ccccc1;75-00-3;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N
1368612;2.42;0.0726;0.0;101.0;279.99;benzene__1,1-difluoroethane;je060395n;Liquid;2;benzene;1,1-difluoroethane;C6H6;C2H4F2;12;6;12;0;8;4;8;0;c1ccccc1;CC(F)F;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;71281-71-5;InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N
1368622;2.33;0.0699;0.0;101.0;270.0;1,1-difluoroethane__toluene;je060395n;Liquid;2;1,1-difluoroethane;toluene;C2H4F2;C7H8;8;4;8;0;15;7;15;0;CC(F)F;Cc1ccccc1;71281-71-5;InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N
1368632;2.61;0.0783;0.0;101.0;270.13;1,1-difluoroethane__1,2-dimethylbenzene;je060395n;Liquid;2;1,1-difluoroethane;1,2-dimethylbenzene;C2H4F2;C8H10;8;4;8;0;18;8;18;0;CC(F)F;Cc1ccccc1C;71281-71-5;InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N;95-47-6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N
1368642;2.46;0.0738;0.0;101.0;270.1;1,1-difluoroethane__1,3-dimethylbenzene;je060395n;Liquid;2;1,1-difluoroethane;1,3-dimethylbenzene;C2H4F2;C8H10;8;4;8;0;18;8;18;0;CC(F)F;Cc1cccc(C)c1;71281-71-5;InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N;108-38-3;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N
1368651;2.36;0.0708;0.0;101.0;289.99;1,1-difluoroethane__1,4-dimethylbenzene;je060395n;Liquid;2;1,1-difluoroethane;1,4-dimethylbenzene;C2H4F2;C8H10;8;4;8;0;18;8;18;0;CC(F)F;Cc1ccc(C)cc1;71281-71-5;InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N;106-42-3;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N
1368661;3.67;0.1101;0.0;101.0;270.07;1,1-difluoroethane__styrene;je060395n;Liquid;2;1,1-difluoroethane;styrene;C2H4F2;C8H8;8;4;8;0;16;8;16;0;CC(F)F;C=Cc1ccccc1;71281-71-5;InChIKey=NPNPZTNLOVBDOC-UHFFFAOYSA-N;79637-11-9;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N
1528335;2164.0;;0.0;101.0;313.15;1-octen-3-ol__water;je2013878;Liquid;2;1-octen-3-ol;water;C8H16O;H2O;25;9;25;0;3;1;3;0;CCCCCC(O)C=C;O;50999-79-6;InChIKey=VSMOENVRRABVKN-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
1528336;49.0;;0.0;101.0;313.15;1-penten-3-ol__water;je2013878;Liquid;2;1-penten-3-ol;water;C5H10O;H2O;16;6;16;0;3;1;3;0;CCC(O)C=C;O;616-25-1;InChIKey=VHVMXWZXFBOANQ-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
1528337;179.0;;0.0;101.0;313.15;butanal, 3-methyl-__water;je2013878;Liquid;2;butanal, 3-methyl-;water;C5H10O;H2O;16;6;16;0;3;1;3;0;CC(C)CC=O;O;590-86-3;InChIKey=YGHRJJRRZDOVPD-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
1528338;601.0;;0.0;101.0;313.15;hexaldehyde__water;je2013878;Liquid;2;hexaldehyde;water;C6H12O;H2O;19;7;19;0;3;1;3;0;CCCCCC=O;O;66-25-1;InChIKey=JARKCYVAAOWBJS-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
1528339;570.0;;0.0;101.0;313.15;phenylmethanal__water;je2013878;Liquid;2;phenylmethanal;water;C7H6O;H2O;14;8;14;0;3;1;3;0;O=Cc1ccccc1;O;100-52-7;InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
1528340;160.0;;0.0;101.0;313.15;2,3-pentanedione__water;je2013878;Liquid;2;2,3-pentanedione;water;C5H8O2;H2O;15;7;15;0;3;1;3;0;CCC(=O)C(C)=O;O;600-14-6;InChIKey=TZMFJUDUGYTVRY-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
2006664;58.8;1.764;0.0;101.0;273.35;pentan-2-ol__water;je901063s;Liquid;2;pentan-2-ol;water;C5H12O;H2O;18;6;18;0;3;1;3;0;CCCC(C)O;O;31087-44-2;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
2006677;48.7;1.461;0.0;101.0;273.35;3-pentanol__water;je901063s;Liquid;2;3-pentanol;water;C5H12O;H2O;18;6;18;0;3;1;3;0;CCC(O)CC;O;584-02-1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
2006688;86.3;2.589;0.0;101.0;273.35;2-methyl-1-butanol__water;je901063s;Liquid;2;2-methyl-1-butanol;water;C5H12O;H2O;18;6;18;0;3;1;3;0;CCC(C)CO;O;1565-80-6;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
2006706;94.9;2.847;0.0;101.0;273.35;1-butanol, 3-methyl-__water;je901063s;Liquid;2;1-butanol, 3-methyl-;water;C5H12O;H2O;18;6;18;0;3;1;3;0;CC(C)CCO;O;123-51-3;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
2006721;18.3;0.549;0.0;101.0;273.35;tert-pentyl alcohol__water;je901063s;Liquid;2;tert-pentyl alcohol;water;C5H12O;H2O;18;6;18;0;3;1;3;0;CCC(C)(C)O;O;75-85-4;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
2006737;43.5;1.305;0.0;101.0;273.35;3-methyl-2-butanol__water;je901063s;Liquid;2;3-methyl-2-butanol;water;C5H12O;H2O;18;6;18;0;3;1;3;0;CC(C)C(C)O;O;70116-68-6;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
